Fighter;Opponent;Result;Event;Event_date;Method;Referee;Round;Time
Shamil Abdurakhimov;Curtis Blaydes;loss;UFC 242 - Khabib vs. Poirier;Sep / 07 / 2019;TKO (Elbow and Punch);Marc Goddard;2;2:22
Shamil Abdurakhimov;Marcin Tybura;win;UFC Fight Night 149 - Overeem vs. Oleynik;Apr / 20 / 2019;TKO (Punches);Herb Dean;2;3:15
Shamil Abdurakhimov;Andrei Arlovski;win;UFC Fight Night 136 - Hunt vs. Oleynik;Sep / 15 / 2018;Decision (Unanimous);Leon Roberts;3;5:00
Shamil Abdurakhimov;Chase Sherman;win;UFC Fight Night 122 - Bisping vs. Gastelum;Nov / 25 / 2017;KO (Punches);Steve Perceval;1;1:24
Shamil Abdurakhimov;Derrick Lewis;loss;UFC Fight Night 102 - Lewis vs. Abdurakhimov;Dec / 09 / 2016;TKO (Punches);Dan Miragliotta;4;3:42
Shamil Abdurakhimov;Walt Harris;win;UFC Fight Night 96 - Lineker vs. Dodson;Oct / 01 / 2016;Decision (Split);Herb Dean;3;5:00
Shamil Abdurakhimov;Anthony Hamilton;win;UFC Fight Night 83 - Cerrone vs. Oliveira;Feb / 21 / 2016;Decision (Unanimous);Chip Snider;3;5:00
Shamil Abdurakhimov;Timothy Johnson;loss;UFC Fight Night 63 - Mendes vs. Lamas;Apr / 04 / 2015;TKO (Punches);Mike King;1;4:57
Shamil Abdurakhimov;Kenny Garner;win;M-1 Challenge 49 - Battle in the Mountains;Jun / 07 / 2014;Decision (Unanimous);Viktor Korneev;3;5:00
Shamil Abdurakhimov;Neil Grove;win;Tech-Krep FC - Southern Front 2;Oct / 04 / 2013;Decision (Unanimous);Ashot Ashughyan;3;5:00
Shamil Abdurakhimov;Jerry Otto;win;ProFC - ProFC 40;Apr / 01 / 2012;Submission (Keylock);Andrei Kovalev;1;1:46
Shamil Abdurakhimov;Tony Lopez;loss;WUFC - Challenge of Champions;Dec / 24 / 2011;Submission (Triangle Choke);N/A;3;1:54
Shamil Abdurakhimov;Marcos Oliveira;win;ADFC - Round 3;Mar / 11 / 2011;TKO (Punches);Marc Goddard;1;1:42
Shamil Abdurakhimov;Rameau Thierry Sokoudjou;win;ADFC - Round 2;Oct / 22 / 2010;TKO (Punches);N/A;3;2:17
Shamil Abdurakhimov;Jeff Monson;win;ADFC - Battle of the Champions;May / 14 / 2010;Decision (Majority);N/A;3;5:00
Shamil Abdurakhimov;Shamil Abdulmuslimov;win;ProFC - Commonwealth Cup;Apr / 23 / 2010;TKO (Punches);N/A;1;1:41
Shamil Abdurakhimov;Mikhail Rutskiv;win;ProFC - Pride & Honour;Mar / 19 / 2010;Submission (Armbar);N/A;1;1:39
Shamil Abdurakhimov;Magomedbag Agaev;win;ProFC - Union Nation Cup 4;Dec / 19 / 2009;Decision (Unanimous);N/A;2;5:00
Shamil Abdurakhimov;Thiago      Santos;loss;Union of Veterans of Sport - Mayor's Cup 2009;Nov / 27 / 2009;Decision (Unanimous);N/A;3;3:00
Shamil Abdurakhimov;Roman Savochka;win;ProFC - Union Nation Cup 2;Sep / 25 / 2009;TKO (Corner Stoppage);N/A;2;1:47
Shamil Abdurakhimov;Roman Mirzoyan;win;ProFC - Union Nation Cup 1;Aug / 21 / 2009;Submission (Armbar);N/A;1;3:30
Shamil Abdurakhimov;Vitalii Yalovenko;win;ProFC - King of The Night 2;Jul / 04 / 2009;KO;N/A;1;1:39
Shamil Abdurakhimov;Ante Maljkovic;win;ProFC - Russia vs. Europe;Mar / 29 / 2009;TKO (Punches);N/A;1;1:17
Shamil Abdurakhimov;Gabriel Garcia;win;fightFORCE - Day of Anger;Feb / 28 / 2009;TKO (Punches);N/A;1;0:57
Shamil Abdurakhimov;Vladimir Kuchenko;win;fightFORCE - Russia vs. The World;Apr / 19 / 2008;Submission (Kimura);N/A;1;N/A
Klidson Abreu;Shamil Gamzatov;loss;UFC Fight Night 163 - Magomedsharipov vs. Kattar;Nov / 09 / 2019;Decision (Split);Leon Roberts;3;5:00
Klidson Abreu;Sam Alvey;win;UFC on ESPN 4 - Dos Anjos vs. Edwards;Jul / 20 / 2019;Decision (Unanimous);Jacob Montalvo;3;5:00
Klidson Abreu;Magomed Ankalaev;loss;UFC Fight Night 145 - Blachowicz vs. Santos;Feb / 23 / 2019;Decision (Unanimous);Leon Roberts;3;5:00
