Fighter;Opponent;Result;Event;Event_date;Method;Referee;Round;Time
Marc-Andre Barriault;Jun Yong Park;loss;UFC Fight Night 165 - Edgar vs. Korean Zombie;Dec / 21 / 2019;Decision (Unanimous);Thomas Fann;3;5:00
Marc-Andre Barriault;Krzysztof Jotko;loss;UFC 240 - Holloway vs. Edgar;Jul / 27 / 2019;Decision (Split);Herb Dean;3;5:00
Marc-Andre Barriault;Andrew Sanchez;loss;UFC Fight Night 151 - Iaquinta vs. Cowboy;May / 04 / 2019;Decision (Unanimous);Todd Anderson;3;5:00
Marc-Andre Barriault;Adam Hunter;win;TKO 44 - Hunter vs. Barriault;Sep / 21 / 2018;KO (Punches);N/A;1;4:28
Marc-Andre Barriault;Brendan Kornberger;win;TKO 43 - Barriault vs. Kornberger;May / 04 / 2018;KO (Punches);Luc Lefebvre;2;4:25
Marc-Andre Barriault;Strahinja Gavrilovic;win;TKO 41 - Champions ;Dec / 08 / 2017;Decision (Split);Luc Lefebvre;5;5:00
Marc-Andre Barriault;Todd Stoute;win;TKO 40 - Denouement;Sep / 08 / 2017;Decision (Split);Jason Herzog;3;5:00
Marc-Andre Barriault;Jonathan Vallee;win;TKO 39 - Ultimatum;Jun / 16 / 2017;TKO (Retirement);N/A;2;5:00
Marc-Andre Barriault;Yacine Bandoui;win;TKO 38 - Ascension;Apr / 07 / 2017;KO (Punch);N/A;1;3:54
Marc-Andre Barriault;Strahinja Gavrilovic;win;Hybrid Combat - Hybrid Pro Series 5;Oct / 15 / 2016;Decision (Split);N/A;3;5:00
Marc-Andre Barriault;Martin  Leblanc;win;LAMMQ - Quebec Mixed Martial Arts League 5;May / 21 / 2016;TKO (Punches);N/A;2;3:06
Marc-Andre Barriault;Jonathan Vallee;loss;Hybrid Combat - Hybrid Pro Series 4;Oct / 17 / 2015;Decision (Split);N/A;3;5:00
Marc-Andre Barriault;James Kouame;win;LAMMQ - Quebec Mixed Martial Arts League 4;Jun / 06 / 2015;TKO (Punches);N/A;1;1:19
Marc-Andre Barriault;James Kouame;win;Hybrid Combat - Hybrid Pro Series 2;Nov / 15 / 2014;KO (Punch);N/A;1;3:50
Marc-Andre Barriault;Paul Cressaty;win;LAMMQ - Quebec Mixed Martial Arts League 3;Jun / 21 / 2014;KO (Punch);N/A;1;2:22
T.J. Brown;Jordan Griffin;loss;UFC Fight Night 169 - Benavidez vs. Figueiredo;Feb / 29 / 2020;Technical Submission (Guillotine Choke);Mike King;2;3:38
T.J. Brown;Dylan Lockard;win;Dana White's Contender Series - Season 3, Episode 10;Aug / 27 / 2019;Submission (Arm-Triangle Choke);Jason Herzog;3;2:59
T.J. Brown;Ken Beverly;win;LFA 67 - James vs. Martin;May / 24 / 2019;KO (Head Kick);Mike England;1;1:45
T.J. Brown;CJay Hunter;win;PF - Pyramid Fights 11;Apr / 13 / 2019;Submission (Arm Triangle Choke);N/A;1;4:50
T.J. Brown;Edwin Williams;win;GCF 8 - Gladiator Cage Fighting 8;Mar / 09 / 2019;KO (Head Kick);Rocky Demier;1;0:40
T.J. Brown;Cody Carrillo;loss;C3 Fights - Border Wars;Feb / 10 / 2018;KO;N/A;1;2:28
T.J. Brown;Peter Barrett;win;Cage Titans FC - Cage Titans 36;Nov / 04 / 2017;Submission (Arm-Triangle Choke);N/A;3;0:35
T.J. Brown;Trey Ogden;loss;LFA 21 - Noblitt vs. Branjao;Sep / 01 / 2017;Submission (Rear-Naked Choke);Mike England;1;2:27
T.J. Brown;Kevin Henry;win;360 Fight Club - 360 Fight Club;Apr / 15 / 2017;KO (Punches);N/A;1;0:08
T.J. Brown;Tyler Smith;win;360 Fight Club - 360 Fight Club 1;Feb / 18 / 2017;Submission (Rear-Naked Choke);N/A;1;2:54
T.J. Brown;Bobby Moffett;loss;RFA 46 - Johnson vs. Tucker;Dec / 09 / 2016;Decision (Split);Mike England;3;5:00
T.J. Brown;Joey Miolla;loss;RFA 44 - Moises vs. Freeman;Sep / 30 / 2016;Submission (Rear-Naked Choke);Mike England;2;4:32
T.J. Brown;Rodney Allison;win;XFI 17 - Xtreme Fighting Inc. 17;Jun / 25 / 2016;Submission (Rear-Naked Choke);N/A;1;4:50
T.J. Brown;Tyrone Paige;win;OTCMMA - Off the Chain MMA 11: Battle and Glory;Apr / 02 / 2016;Decision (Unanimous);N/A;3;5:00
T.J. Brown;Francisco Olivera;win;RMMA - Renaissance MMA 35;Oct / 16 / 2015;Submission (Arm-Triangle Choke);N/A;3;3:29
T.J. Brown;Tyrone Paige;win;OTCMMA - Off the Chain MMA 9: Apocalypse in the Park;Aug / 22 / 2015;Submission (Arm-Triangle Choke);N/A;1;2:28
T.J. Brown;Bobby Taylor;loss;AXS TV Fights - RFA vs. Legacy Superfight;May / 08 / 2015;TKO (Punches);N/A;1;1:56
T.J. Brown;Deartie Tucker III;win;OTCMMA - Off The Chain MMA 7;Feb / 07 / 2015;TKO;N/A;1;0:28
T.J. Brown;Latral Perdue;win;V3 Fights - Johnson vs. Kennedy;Jan / 24 / 2015;Submission (Rear-Naked Choke);N/A;1;0:33
T.J. Brown;Adrian Walker;win;OTCMMA - Off The Chain MMA 6;Oct / 11 / 2014;Submission (Arm-Triangle Choke);N/A;2;2:29
T.J. Brown;Shelby Graham;loss;CCC - Cage Combat Championships 5;Nov / 09 / 2013;TKO (Didn't Answer the bell for Round 2);N/A;1;5:00
Antonio Carlos Jr.;Uriah Hall;loss;UFC Fight Night 158 - Cowboy vs. Gaethje;Sep / 14 / 2019;Decision (Split);Jerin Valel;3;5:00
Antonio Carlos Jr.;Ian Heinisch;loss;UFC Fight Night 152 - Dos Anjos vs. Lee;May / 18 / 2019;Decision (Unanimous);Todd Anderson;3;5:00
Antonio Carlos Jr.;Tim Boetsch;win;UFC on Fox 29 - Poirier vs. Gaethje;Apr / 14 / 2018;Submission (Rear-Naked Choke);Herb Dean;1;4:28
Antonio Carlos Jr.;Jack Marshman;win;UFC Fight Night 119 - Brunson vs. Machida;Oct / 28 / 2017;Submission (Rear-Naked Choke);Osiris Maia;1;4:30
Antonio Carlos Jr.;Eric Spicely;win;UFC 212 - Aldo vs. Holloway;Jun / 03 / 2017;Submission (Rear-Naked Choke);John McCarthy;2;3:49
Antonio Carlos Jr.;Marvin Vettori;win;UFC 207 - Nunes vs. Rousey;Dec / 30 / 2016;Decision (Unanimous);Mark Smith;3;5:00
Antonio Carlos Jr.;Leonardo Guimaraes;win;UFC Fight Night 94 - Poirier vs. Johnson;Sep / 17 / 2016;Submission (Rear-Naked Choke);Jacob Montalvo;3;4:46
Antonio Carlos Jr.;Daniel Kelly;loss;UFC Fight Night 85 - Hunt vs. Mir;Mar / 19 / 2016;TKO (Punches);Greg Kleynjans;3;1:36
Antonio Carlos Jr.;Kevin Casey;NC;UFC Fight Night 80 - Namajunas vs. VanZant;Dec / 10 / 2015;No Contest (Eye Poke);Mark Smith;1;0:11
Antonio Carlos Jr.;Eddie Gordon;win;UFC Fight Night 70 - Machida vs. Romero;Jun / 27 / 2015;Submission (Rear-Naked Choke);Jorge Alonso;3;4:37
Antonio Carlos Jr.;Patrick Cummins;loss;UFC Fight Night 58 - Machida vs. Dollaway;Dec / 20 / 2014;Decision (Unanimous);Mario Yamasaki;3;5:00
Antonio Carlos Jr.;Vitor Miranda;win;UFC - The Ultimate Fighter Brazil 3 Finale;May / 31 / 2014;Decision (Unanimous);Herb Dean;3;5:00
Antonio Carlos Jr.;Edinaldo Novaes;win;CPMMAF 2 - Salvador vs. Feira de Santana;Oct / 26 / 2013;Submission (Armbar);Tiago Aires;1;4:16
