Fighter;Opponent;Result;Event;Event_date;Method;Referee;Round;Time
Virna Jandiroba;Mallory Martin;win;UFC on ESPN 7 - Overeem vs. Rozenstruik;Dec / 07 / 2019;Submission (Rear-Naked Choke);Keith Peterson;2;1:16
Virna Jandiroba;Carla Esparza;loss;UFC Fight Night 150 - Jacare vs. Hermansson;Apr / 27 / 2019;Decision (Unanimous);Alan Abeles;3;5:00
Virna Jandiroba;Janaisa Morandin;win;Invicta FC 31 - Jandiroba vs. Morandin;Sep / 01 / 2018;Submission (Arm-Triangle Choke);Mike England;2;2:23
Virna Jandiroba;Mizuki Inoue;win;Invicta FC 28 - Mizuki vs. Jandiroba;Mar / 24 / 2018;Decision (Split);Dave Seljestad;5;5:00
Virna Jandiroba;Amy Montenegro;win;Invicta FC 26 - Maia vs. Niedzwiedz;Dec / 08 / 2017;Submission (Armbar);Greg Franklin;1;2:50
Virna Jandiroba;Ericka Almeida;win;F2N - Fight 2 Night 2;Apr / 28 / 2017;Decision (Split);Camila Albuquerque;3;5:00
Virna Jandiroba;Suiane Teixeira dos Santos;win;Imperium - MMA Pro 12;Nov / 26 / 2016;Submission (Armbar);Carla Freitas;1;0:46
Virna Jandiroba;Lisa Ellis;win;F2N - Fight 2 Night;Nov / 04 / 2016;Submission (Rear-Naked Choke);Fernando Portella;1;2:21
Virna Jandiroba;Cristiane Lima Silva;win;Fight On MMA - Fight On 3;Jul / 30 / 2016;Submission (Rear-Naked Choke);Alexandre Camera;1;2:34
Virna Jandiroba;Anne Karoline Nascimento;win;MNA MMA Circuit 2 - MNA MMA Circuit 2016;Apr / 09 / 2016;Submission (Armbar);Carla Freitas;2;3:29
Virna Jandiroba;Aline Sattelmayer;win;O Rei da Arena Fight - The King of Arena Fight 2;Nov / 14 / 2015;Decision (Unanimous);Carla Freitas;3;5:00
Virna Jandiroba;Cristiane Lima Silva;win;VFC 4 - Velame Fight Combat 4;Sep / 12 / 2015;Submission (Rear-Naked Choke);Carla Freitas;1;2:53
Virna Jandiroba;Carla Ramos;win;BFC 2 - Banzay Fight Championship 2;May / 16 / 2015;Submission (Triangle Choke);Carla Freitas;1;1:50
Virna Jandiroba;Camila Lima;win;MMASH - MMA Super Heroes 7;Nov / 15 / 2014;Submission (Rear-Naked Choke);N/A;2;4:30
Virna Jandiroba;Gina Brito Silva Santana;win;The Iron Fight 2.0 - MMA Tournament;Dec / 21 / 2013;Submission (Rear-Naked Choke);N/A;3;N/A
Virna Jandiroba;Joana Santana;win;PFL - Premier Fight League 10;Jun / 15 / 2013;Submission (Rear-Naked Choke);Carla Freitas;1;0:41
Joanna Jedrzejczyk;Weili Zhang;loss;UFC 248 - Adesanya vs. Romero;Mar / 07 / 2020;Decision (Split);Keith Peterson;5;5:00
Joanna Jedrzejczyk;Michelle Waterson;win;UFC Fight Night 161 - Jedrzejczyk vs. Waterson;Oct / 12 / 2019;Decision (Unanimous);Herb Dean;5;5:00
Joanna Jedrzejczyk;Valentina Shevchenko;loss;UFC 231 - Holloway vs. Ortega;Dec / 08 / 2018;Decision (Unanimous);Todd Anderson;5;5:00
Joanna Jedrzejczyk;Tecia Torres;win;UFC on Fox 30 - Alvarez vs. Poirier 2;Jul / 28 / 2018;Decision (Unanimous);Keith Peterson;3;5:00
Joanna Jedrzejczyk;Rose Namajunas;loss;UFC 223 - Khabib vs. Iaquinta;Apr / 07 / 2018;Decision (Unanimous);Keith Peterson;5;5:00
Joanna Jedrzejczyk;Rose Namajunas;loss;UFC 217 - Bisping vs. St. Pierre;Nov / 04 / 2017;TKO (Punches);John McCarthy;1;3:03
Joanna Jedrzejczyk;Jessica Andrade;win;UFC 211 - Miocic vs. Dos Santos 2;May / 13 / 2017;Decision (Unanimous);Jacob Montalvo;5;5:00
Joanna Jedrzejczyk;Karolina Kowalkiewicz;win;UFC 205 - Alvarez vs. McGregor;Nov / 12 / 2016;Decision (Unanimous);Keith Peterson;5;5:00
Joanna Jedrzejczyk;Claudia Gadelha;win;UFC  - The Ultimate Fighter 23 Finale;Jul / 08 / 2016;Decision (Unanimous);John McCarthy;5;5:00
Joanna Jedrzejczyk;Valerie Letourneau;win;UFC 193 - Rousey vs. Holm;Nov / 14 / 2015;Decision (Unanimous);Steve Perceval;5;5:00
Joanna Jedrzejczyk;Jessica Penne;win;UFC Fight Night 69 - Jedrzejczyk vs. Penne;Jun / 20 / 2015;TKO (Punches and Knee);Marc Goddard;3;4:22
Joanna Jedrzejczyk;Carla Esparza;win;UFC 185 - Pettis vs. dos Anjos;Mar / 14 / 2015;KO (Punches);Don Turnage;2;4:17
Joanna Jedrzejczyk;Claudia Gadelha;win;UFC on Fox 13 - Dos Santos vs. Miocic;Dec / 13 / 2014;Decision (Split);Al Guinee;3;5:00
